u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
25765902,8238681174,0,False,10.71,,,,,,"LINESTRING (475780.0558735167 4429693.593143817, 475780.7387451049 4429682.924646141)"
25765902,176528130,0,False,105.26100000000001,,,,,,"LINESTRING (475780.0558735167 4429693.593143817, 475789.6131773358 4429696.048927097, 475872.57965775486 4429717.406445222, 475882.1628192703 4429719.962155123)"
25765902,395375491,0,False,59.105000000000004,,,,,,"LINESTRING (475780.0558735167 4429693.593143817, 475778.5780347467 4429706.528409012, 475776.1254333011 4429726.903238518, 475771.7164975697 4429751.97926113)"
25765902,5536508948,0,False,94.055,,,,,,"LINESTRING (475780.0558735167 4429693.593143817, 475766.99628452107 4429690.08301068, 475748.1116302853 4429685.037589058, 475689.0485819612 4429669.1656605285)"
176394637,1203601664,0,False,158.483,,,,,,"LINESTRING (475535.9496644447 4428716.869313098, 475532.07357288554 4428727.11522193, 475533.1255082724 4428778.190253776, 475537.36594461836 4428785.701857542, 475543.31564183545 4428788.612907815, 475555.75239224406 4428786.364192869, 475607.9300243466 4428790.081399247, 475624.2304591471 4428789.662870466)"
176394637,176399968,0,False,88.36800000000001,,,,,,"LINESTRING (475535.9496644447 4428716.869313098, 475560.3326076161 4428716.346963232, 475594.3001558585 4428713.085733451, 475604.74674174824 4428715.649429099, 475623.9714117899 4428714.156002063)"
176394637,176399958,0,False,54.245000000000005,,,,,,"LINESTRING (475535.9496644447 4428716.869313098, 475522.09524717566 4428708.278725339, 475484.0547253732 4428708.345741724)"
176399264,2498567373,0,False,25.561,,,,,,"LINESTRING (475317.437936703 4428738.685882032, 475343.0521334509 4428738.869187159)"
176399264,2498567266,0,False,32.272,,,,,,"LINESTRING (475317.437936703 4428738.685882032, 475312.8805270925 4428730.886849612, 475310.5709344387 4428724.046152065, 475308.1310434573 4428716.50662992, 475308.56520146696 4428710.900134894, 475309.8045330677 4428708.809466204)"
176399264,10167177245,0,False,49.989000000000004,,,,,,"LINESTRING (475317.437936703 4428738.685882032, 475316.004287105 4428744.018140745, 475311.1516636265 4428747.818710448, 475303.7423533465 4428752.792997918, 475297.60608031845 4428755.543322166, 475275.34435000014 4428760.044225795)"
176399267,8157064850,0,False,51.817,,,,,,"LINESTRING (475377.2674559518 4428738.380978191, 475429.19387944334 4428738.179764619)"
176399267,4561028792,0,False,53.352,,,,,,"LINESTRING (475377.2674559518 4428738.380978191, 475377.57640337176 4428791.633842037)"
176399267,2498567373,0,False,34.149,,,,,,"LINESTRING (475377.2674559518 4428738.380978191, 475349.10361637775 4428738.916167901, 475343.0521334509 4428738.869187159)"
176399267,176425996,0,False,45.802,,,,,,"LINESTRING (475377.2674559518 4428738.380978191, 475375.0607801852 4428715.856788428, 475375.0713911723 4428692.77046254)"
176399268,8157064850,0,False,55.326,,,,,,"LINESTRING (475484.6366594176 4428737.956472243, 475429.19387944334 4428738.179764619)"
176399268,176399958,0,False,29.671,,,,,,"LINESTRING (475484.6366594176 4428737.956472243, 475484.0547253732 4428708.345741724)"
176399268,176489788,0,False,108.271,,,,,,"LINESTRING (475484.6366594176 4428737.956472243, 475485.37342350837 4428836.792284964, 475485.85549560713 4428846.014149608)"
176399924,176399926,0,False,53.316,,,,,,"LINESTRING (475881.9651453834 4428844.91429899, 475881.1267657165 4428898.126406304)"
176399924,176488642,0,False,147.624,,,,,,"LINESTRING (475881.9651453834 4428844.91429899, 475734.0290034106 4428844.67448096)"
176399924,176491044,0,False,47.66,,,,,,"LINESTRING (475881.9651453834 4428844.91429899, 475929.72633220477 4428844.885093955)"
176399926,176399924,0,False,53.316,,,,,,"LINESTRING (475881.1267657165 4428898.126406304, 475881.9651453834 4428844.91429899)"
176399926,2110230084,0,False,49.781,,,,,,"LINESTRING (475881.1267657165 4428898.126406304, 475931.0068006194 4428898.900727875)"
176399926,2110230085,0,False,146.6,,,,,,"LINESTRING (475881.1267657165 4428898.126406304, 475734.21820123843 4428898.6269789925)"
176399958,176399268,0,False,29.671,,,,,,"LINESTRING (475484.0547253732 4428708.345741724, 475484.6366594176 4428737.956472243)"
176399958,5142433708,0,False,107.026,,,,,,"LINESTRING (475484.0547253732 4428708.345741724, 475484.17130746733 4428601.515791913)"
176399958,176394637,0,False,54.245000000000005,,,,,,"LINESTRING (475484.0547253732 4428708.345741724, 475522.09524717566 4428708.278725339, 475535.9496644447 4428716.869313098)"
176399968,5535547306,0,False,51.75,,,,,,"LINESTRING (475623.9714117899 4428714.156002063, 475624.14548560936 4428765.811011257)"
176399968,176394637,0,False,88.36800000000001,,,,,,"LINESTRING (475623.9714117899 4428714.156002063, 475604.74674174824 4428715.649429099, 475594.3001558585 4428713.085733451, 475560.3326076161 4428716.346963232, 475535.9496644447 4428716.869313098)"
176399968,176486228,0,False,111.899,,,,,,"LINESTRING (475623.9714117899 4428714.156002063, 475624.3576628744 4428661.566870691, 475625.1428320352 4428610.941019215, 475626.11447777064 4428602.524731755)"
